Row_ID,CPSE_Name,Material_Code_CPSE,Material_Description_Raw,Specification_Raw,Unit_Of_Measurement,Existing_Classification_Code,Plant_Location,Annual_Procured_Qty,Avg_Unit_Price_INR,Vendor_Name,GroundTruth_Material_Cluster_ID,GroundTruth_Standard_Material_Name,GroundTruth_Common_National_Material_Code
34,IOCL,IOC-640310,CONTINUOUS CASTING MOULD COPPER PLATE (COPPER PLATE MOULD CONTINUOUS CASTING MACHINE),COPPER PLATE MOULD CONTINUOUS CASTING MACHINE,NO,CLS-4027,Gujarat Refinery,49,148141.65,Vendor-197,CLU-0047,Continuous Casting Mould Copper Plate,NMC-100047
35,HPCL,HPC-949541,SINTER PLANT GRATE BAR HIGH CHROME CAST,-,EA,CLS-2791,Visakh Refinery,2,13491.8,Vendor-763,CLU-0080,Sinter Plant Grate Bar High Chrome Cast,NMC-100080
36,CIL,CIL-632351,51210 THRUST BALL BRG THRUST BALL BEARING 51210,51210 THRUST BALL BRG,EA,CLS-1618,MCL Sambalpur,432,2451.15,Vendor-639,CLU-0033,Thrust Ball Bearing 51210,NMC-100033
37,CIL,CIL-242071,SCADA COMPATIBLE RTU MODULE 16 CHANNEL,-,EA,CLS-7224,NCL Singrauli,1,67697.06,Vendor-440,CLU-0065,SCADA Compatible RTU Module 16 Channel,NMC-100065
38,HPCL,HPC-765905,ISO VG220 GEAR OIL 210L INDUSTRIAL GEAR OIL ISO VG 220 210L DRUM,ISO VG220 GEAR OIL 210L,LTR,CLS-9740,Mumbai Refinery,69,306.26,Vendor-729,CLU-0041,Industrial Gear Oil ISO VG 220 210L Drum,NMC-100041
39,CPCL,CPCL-604740,DEEP GROOVE BALL BEARING 6205 (BEARING 6205-2RS),BEARING 6205-2RS,NO,CLS-3697,Manali Refinery,447,330.47,Vendor-160,CLU-0006,Deep Groove Ball Bearing 6205,NMC-100006
40,SAIL,SAIL-476417,BALL VALVE CARBON STEEL 2 INCH CLASS 300 (2IN 300# CS RF),2IN 300# CS RF,EA,CLS-8527,Rourkela Steel Plant,314,12496.85,Vendor-144,CLU-0002,Ball Valve Carbon Steel 2 Inch Class 300,NMC-100002
41,NTPC,NTPC-406024,PORTABLE GAS DETECTOR 4-GAS TYPE,-,EA,CLS-4977,Ramagundam STPS,25,30583.38,Vendor-842,CLU-0061,Portable Gas Detector 4-Gas Type,NMC-100061
42,CIL,CIL-851742,BLAST FURN TUYE COPP WATER COOLED CU TUYERE BF,WATER COOLED CU TUYERE BF,NOS,CLS-8298,MCL Sambalpur,255,70913.0,Vendor-622,CLU-0048,Blast Furnace Tuyere Copper Water Cooled,NMC-100048
43,SAIL,SAIL-512344,STEEL WIRE MESH SCRE 10 MM MESH SCREEN STEEL WIRE,10 MM MESH SCREEN STEEL WIRE,MTR,CLS-6781,Bokaro Steel Plant,239,3423.38,Vendor-320,CLU-0043,Steel Wire Mesh Screen 10mm Aperture,NMC-100043
44,IOCL,IOC-296694,DIESEL GENERATOR AIR FILTER ELEMENT (AIR FILTER ELE. DG SET SPARE),AIR FILTER ELE. DG SET SPARE,EA,CLS-8242,Haldia Refinery,190,1596.21,Vendor-610,CLU-0020,Diesel Generator Air Filter Element,NMC-100020
45,NTPC,NTPC-712401,127MM DIA CONVEYOR IDLER ROLLER COAL CONVEYOR IDLER ROLLER 127MM DIA,127MM DIA CONVEYOR IDLER ROLLER,EACH,CLS-4214,Korba STPS,373,2752.73,Vendor-256,CLU-0052,Coal Conveyor Idler Roller 127mm Dia,NMC-100052
46,BPCL,BPC-392075,DEEP GROOVE BALL BEARING 6205 (BEARING 6205-2RS),BEARING 6205-2RS,NOS,CLS-8260,Kochi Refinery,132,543.52,Vendor-177,CLU-0006,Deep Groove Ball Bearing 6205,NMC-100006
47,HPCL,HPC-578975,INSULATED COPPER CABLE 3 CORE 2.5 SQMM (PVC INS CU CABLE 3C 2.5MM2),PVC INS CU CABLE 3C 2.5MM2,M,CLS-9327,Visakh Refinery,201,82.87,Vendor-713,CLU-0021,Insulated Copper Cable 3 Core 2.5 sqmm,NMC-100021
48,NTPC,NTPC-720859,MOTOR BEARING NU 220 CYLINDRICAL ROLLER - NU 220 ROLLER BRG,NU 220 ROLLER BRG,EA,CLS-5941,Korba STPS,430,5949.83,Vendor-204,CLU-0015,Motor Bearing NU 220 Cylindrical Roller,NMC-100015
49,ONGC,ONG-676510,SEAMLESS PIPE CARBON STEEL SCH 40 6 INCH - 6 INCH SCHEDULE 40 CS SEAMLESS,6 INCH SCHEDULE 40 CS SEAMLESS,MET,CLS-7932,Mumbai High Offshore,140,4110.7,Vendor-721,CLU-0004,Seamless Pipe Carbon Steel Sch 40 6 Inch,NMC-100004
50,SAIL,SAIL-682851,BOILER TUBE SEAMLESS SA210 GRADE C 51MM OD - SA210GRC 51MM OD BOILER TUBE,SA210GRC 51MM OD BOILER TUBE,MET,CLS-7244,Rourkela Steel Plant,29,2455.66,Vendor-758,CLU-0050,Boiler Tube Seamless SA210 Grade C 51mm OD,NMC-100050
51,SAIL,SAIL-174441,HEX HEAD BOLT SS304 M16X60 - M16 X 60MM SS 304 HEXAGON BOLT,M16 X 60MM SS 304 HEXAGON BOLT,EA,CLS-1514,Bokaro Steel Plant,328,25.89,Vendor-169,CLU-0005,Hex Head Bolt SS304 M16x60,NMC-100005
52,IOCL,IOC-900185,16B-1 ROLLER CHAIN SIMPLEX ROLLER CHAIN 16B-1 SIMPLEX,16B-1 ROLLER CHAIN SIMPLEX,MTR,CLS-3414,Panipat Refinery,144,569.59,Vendor-625,CLU-0034,Roller Chain 16B-1 Simplex,NMC-100034
53,HPCL,HPC-581294,WC EXCAVATOR BUCKET TEETH EXCAVATOR BUCKET TEETH TUNGSTEN CARBIDE,WC EXCAVATOR BUCKET TEETH,NO,CLS-2320,Visakh Refinery,361,2903.43,Vendor-800,CLU-0053,Excavator Bucket Teeth Tungsten Carbide,NMC-100053
54,SAIL,SAIL-392559,CONTINUOUS MINER CUTTING BIT CARBIDE TIP - CM CUTTING BIT TUNGSTEN CARBIDE,CM CUTTING BIT TUNGSTEN CARBIDE,NOS,CLS-5735,Bokaro Steel Plant,157,496.16,Vendor-404,CLU-0045,Continuous Miner Cutting Bit Carbide Tip,NMC-100045
55,BPCL,BPC-969032,BLAST FURN TUYE COPP BF TUYERE CU WATER COOLED,BF TUYERE CU WATER COOLED,EA,CLS-6375,Mumbai Refinery,298,124399.22,Vendor-268,CLU-0048,Blast Furnace Tuyere Copper Water Cooled,NMC-100048
56,CIL,CIL-157174,FIRE EXTINGUISHER CO2 TYPE 4.5 KG CAP FIRE EXTINGUISHER CO2 TYPE 4.5KG,FIRE EXTINGUISHER CO2 TYPE 4.5 KG CAP,EA,CLS-9042,MCL Sambalpur,154,4592.25,Vendor-229,CLU-0017,Fire Extinguisher CO2 Type 4.5kg,NMC-100017
57,CIL,CIL-340044,DIES GENE AIR FILT GENSET AIR FILTER CARTRIDGE,GENSET AIR FILTER CARTRIDGE,EA,CLS-1339,MCL Sambalpur,433,1976.83,Vendor-701,CLU-0020,Diesel Generator Air Filter Element,NMC-100020
58,IOCL,IOC-147670,INDU GEAR OIL ISO ISO VG220 GEAR OIL 210L,ISO VG220 GEAR OIL 210L,LTR,CLS-4453,Haldia Refinery,399,294.19,Vendor-766,CLU-0041,Industrial Gear Oil ISO VG 220 210L Drum,NMC-100041
59,IOCL,IOC-789545,VIBRATION MONITORING SENSOR ACCELEROMETER TYPE,-,NOS,CLS-1725,Haldia Refinery,23,19990.15,Vendor-727,CLU-0074,Vibration Monitoring Sensor Accelerometer Type,NMC-100074
60,NTPC,NTPC-138551,INTRINSICALLY SAFE JUNCTION BOX EX-I TYPE,-,EACH,CLS-2392,Ramagundam STPS,45,13955.02,Vendor-649,CLU-0073,Intrinsically Safe Junction Box Ex-i Type,NMC-100073
61,BPCL,BPC-144618,TRAN BUSH OIL FILL TRANSFORMER BUSHING 33KV OIL TYPE,TRANSFORMER BUSHING 33KV OIL TYPE,EACH,CLS-8790,Mumbai Refinery,113,139140.03,Vendor-808,CLU-0054,Transformer Bushing Oil Filled 33kV,NMC-100054
62,ONGC,ONG-386193,INDUSTRIAL SAFETY HELMET HDPE (HELMET SAFETY HDPE IS2925),HELMET SAFETY HDPE IS2925,NOS,CLS-7624,Ankleshwar Asset,253,158.71,Vendor-444,CLU-0013,Industrial Safety Helmet HDPE,NMC-100013
63,NTPC,NTPC-488984,TEMPERATURE TRANSMITTER RTD PT100 HEAD MOUNT - RTD PT100 HEAD MT TT,RTD PT100 HEAD MT TT,NO,CLS-3255,Ramagundam STPS,232,12630.84,Vendor-687,CLU-0039,Temperature Transmitter RTD PT100 Head Mount,NMC-100039
64,SAIL,SAIL-450996,HYDROGEN SULPHIDE SCAVENGER CHEMICAL 200L DRUM,-,L,CLS-5922,Rourkela Steel Plant,42,984.54,Vendor-239,CLU-0066,Hydrogen Sulphide Scavenger Chemical 200L Drum,NMC-100066
65,ONGC,ONG-931131,STRU STEEL ANGLE 75X7 ANGLE 75X75X6 MS,ANGLE 75X75X6 MS,M,CLS-5728,Ankleshwar Asset,309,612.14,Vendor-682,CLU-0019,Structural Steel Angle 75x75x6mm,NMC-100019
66,BPCL,BPC-725380,GATE VALVE CAST STEEL 6 INCH CLASS 150 - 6 INCH CLASS150 CAST STEEL GATE VLV,6 INCH CLASS150 CAST STEEL GATE VLV,NO,CLS-9669,Mumbai Refinery,202,32172.87,Vendor-579,CLU-0003,Gate Valve Cast Steel 6 Inch Class 150,NMC-100003
67,IOCL,IOC-793384,BALL VALVE CARB STEEL 2 INCH CLASS 300 CARBON STEEL,2 INCH CLASS 300 CARBON STEEL,EA,CLS-4814,Panipat Refinery,400,12919.6,Vendor-181,CLU-0002,Ball Valve Carbon Steel 2 Inch Class 300,NMC-100002
68,CIL,CIL-575435,BALL VALVE CARBON STEEL 2 INCH CLASS 300 (2IN 300# CS RF),2IN 300# CS RF,PCS,CLS-6820,MCL Sambalpur,432,14202.15,Vendor-479,CLU-0002,Ball Valve Carbon Steel 2 Inch Class 300,NMC-100002
69,BPCL,BPC-641722,GI FENCING 1.8M HT CHAINLINK CHAIN LINK FENCING GI 6FT HEIGHT,GI FENCING 1.8M HT CHAINLINK,MTR,CLS-9004,Mumbai Refinery,48,245.17,Vendor-516,CLU-0016,Chain Link Fencing GI 6ft Height,NMC-100016
70,CPCL,CPCL-697467,COAL CONVEYOR IDLER ROLLER 127MM DIA - CONVEYOR IDLER 127MM ROLLER TYPE,CONVEYOR IDLER 127MM ROLLER TYPE,NO,CLS-6530,Manali Refinery,260,3151.93,Vendor-801,CLU-0052,Coal Conveyor Idler Roller 127mm Dia,NMC-100052
71,BPCL,BPC-564920,4IN CI SWING CHECK VLV CHECK VALVE CAST IRON 4 INCH SWING TYPE,4IN CI SWING CHECK VLV,NOS,CLS-2627,Kochi Refinery,491,5888.9,Vendor-471,CLU-0026,Check Valve Cast Iron 4 Inch Swing Type,NMC-100026
72,IOCL,IOC-183958,RADAR TYPE LT 4-20MA HART LEVEL TRANSMITTER RADAR TYPE 4-20MA,RADAR TYPE LT 4-20MA HART,EA,CLS-7981,Gujarat Refinery,343,63651.2,Vendor-556,CLU-0038,Level Transmitter Radar Type 4-20mA,NMC-100038
73,NTPC,NTPC-337144,6X4IN CS CONC REDUCER REDUCER CONCENTRIC CARBON STEEL 6X4 INCH,6X4IN CS CONC REDUCER,EACH,CLS-1430,Ramagundam STPS,437,1753.64,Vendor-885,CLU-0029,Reducer Concentric Carbon Steel 6x4 Inch,NMC-100029
74,CIL,CIL-744481,CCM COPPER MOULD PLATE CONTINUOUS CASTING MOULD COPPER PLATE,CCM COPPER MOULD PLATE,PCS,CLS-3509,SECL Bilaspur,117,242751.29,Vendor-589,CLU-0047,Continuous Casting Mould Copper Plate,NMC-100047
75,HPCL,HPC-122394,CHECK VALVE CAST IRON 4 INCH SWING TYPE - 4IN CI SWING CHECK VLV,4IN CI SWING CHECK VLV,EACH,CLS-4362,Visakh Refinery,407,6668.07,Vendor-228,CLU-0026,Check Valve Cast Iron 4 Inch Swing Type,NMC-100026
76,ONGC,ONG-184714,"PLUG VALVE PTFE LINED 3 INCH (3"" PLUG VALVE PTFE-LINED)","3"" PLUG VALVE PTFE-LINED",EA,CLS-5505,Ankleshwar Asset,316,15411.68,Vendor-229,CLU-0028,Plug Valve PTFE Lined 3 Inch,NMC-100028
77,IOCL,IOC-723945,THRUST BALL BEARING 51210 (TBB 51210),TBB 51210,NOS,CLS-7171,Haldia Refinery,485,1077.91,Vendor-672,CLU-0033,Thrust Ball Bearing 51210,NMC-100033
78,CIL,CIL-256445,COUP FLEX PIN BUSH 100MM PIN BUSH FLEX COUPLING,100MM PIN BUSH FLEX COUPLING,NOS,CLS-2940,MCL Sambalpur,490,4823.01,Vendor-354,CLU-0018,Coupling Flexible Pin Bush Type 100mm,NMC-100018
79,IOCL,IOC-266889,WIRE ROPE SLING 12MM 6X37 CONSTRUCTION (12 MM WIRE ROPE 6X37 SLING TYPE),12 MM WIRE ROPE 6X37 SLING TYPE,MET,CLS-5050,Haldia Refinery,446,218.67,Vendor-365,CLU-0012,Wire Rope Sling 12mm 6x37 Construction,NMC-100012
80,BPCL,BPC-152578,50MM MECH SEAL SIC/SIC CENTRIFUGAL PUMP MECHANICAL SEAL 50MM,50MM MECH SEAL SIC/SIC,EA,CLS-3579,Kochi Refinery,262,14072.95,Vendor-643,CLU-0007,Centrifugal Pump Mechanical Seal 50mm,NMC-100007
81,ONGC,ONG-517479,DN100 CI SWING CHECK CHECK VALVE CAST IRON 4 INCH SWING TYPE,DN100 CI SWING CHECK,EA,CLS-8450,Ankleshwar Asset,102,11745.66,Vendor-968,CLU-0026,Check Valve Cast Iron 4 Inch Swing Type,NMC-100026
82,HPCL,HPC-170394,REDUCER CONCENTRIC CARBON STEEL 6X4 INCH - DN150XDN100 CS RED CONC,DN150XDN100 CS RED CONC,NO,CLS-2582,Visakh Refinery,430,945.12,Vendor-542,CLU-0029,Reducer Concentric Carbon Steel 6x4 Inch,NMC-100029
83,BPCL,BPC-396635,STUD BOLT M24 X 180MM GR B7 WITH 2 NUTS STUDDED BOLT WITH 2 NUTS B7 M24X180,STUD BOLT M24 X 180MM GR B7 WITH 2 NUTS,SETS,CLS-1857,Kochi Refinery,214,587.23,Vendor-795,CLU-0032,Studded Bolt with 2 Nuts B7 M24x180,NMC-100032
84,HPCL,HPC-173372,8 INCH CAST IRON WAFER TYPE BFLY VALVE BUTTERFLY VALVE CAST IRON 8 INCH WAFER TYPE,8 INCH CAST IRON WAFER TYPE BFLY VALVE,NO,CLS-3041,Mumbai Refinery,324,10394.82,Vendor-968,CLU-0010,Butterfly Valve Cast Iron 8 Inch Wafer Type,NMC-100010
85,ONGC,ONG-857997,MOULD PLATE CU CCM TYPE CONTINUOUS CASTING MOULD COPPER PLATE,MOULD PLATE CU CCM TYPE,EACH,CLS-4871,Rajahmundry Asset,10,124464.04,Vendor-468,CLU-0047,Continuous Casting Mould Copper Plate,NMC-100047
86,IOCL,IOC-950916,MECHANICAL FACE SEAL CARTRIDGE TYPE 75MM (75 MM CARTRIDGE TYPE MECH SEAL),75 MM CARTRIDGE TYPE MECH SEAL,NOS,CLS-1605,Panipat Refinery,37,32049.26,Vendor-568,CLU-0037,Mechanical Face Seal Cartridge Type 75mm,NMC-100037
87,ONGC,ONG-310743,PRESSURE SAFETY VALVE 2X3 INCH SET 10 BAR - DN50XDN80 PSV SET 10BAR,DN50XDN80 PSV SET 10BAR,EA,CLS-6912,Mumbai High Offshore,126,47243.8,Vendor-126,CLU-0040,Pressure Safety Valve 2x3 Inch Set 10 Bar,NMC-100040
88,CPCL,CPCL-872246,SPIRAL WOUND GASKET SS316 4 INCH CLASS 150 - 4 INCH CLASS 150 SS 316,4 INCH CLASS 150 SS 316,NOS,CLS-2424,Manali Refinery,351,705.5,Vendor-658,CLU-0001,Spiral Wound Gasket SS316 4 Inch Class 150,NMC-100001
89,CIL,CIL-162894,REDUCER CONCENTRIC CARBON STEEL 6X4 INCH - DN150XDN100 CS RED CONC,DN150XDN100 CS RED CONC,EACH,CLS-3002,MCL Sambalpur,494,1754.7,Vendor-437,CLU-0029,Reducer Concentric Carbon Steel 6x4 Inch,NMC-100029
90,IOCL,IOC-807617,SET NUT BOLT M20-80 SS316 INDUSTRIAL GRADE NUT BOLT SET M20X80 SS316,SET NUT BOLT M20-80 SS316,SET,CLS-6374,Panipat Refinery,246,85.51,Vendor-674,CLU-0025,Industrial Grade Nut Bolt Set M20x80 SS316,NMC-100025
91,SAIL,SAIL-146489,75MM CARTRIDGE MECH SEAL MECHANICAL FACE SEAL CARTRIDGE TYPE 75MM,75MM CARTRIDGE MECH SEAL,NOS,CLS-3868,Rourkela Steel Plant,284,21479.32,Vendor-758,CLU-0037,Mechanical Face Seal Cartridge Type 75mm,NMC-100037
92,IOCL,IOC-772985,COAL CONVEYOR IDLER ROLLER 127MM DIA - 127 MM DIA IDLER ROLLER CONVEYOR,127 MM DIA IDLER ROLLER CONVEYOR,EACH,CLS-2217,Panipat Refinery,273,1601.47,Vendor-967,CLU-0052,Coal Conveyor Idler Roller 127mm Dia,NMC-100052
93,HPCL,HPC-417915,ELECTROSTATIC PRECIPITATOR COLLECTING ELECTRODE PLATE - COLLECTING ELECTRODE PLATE FOR ESP,COLLECTING ELECTRODE PLATE FOR ESP,PCS,CLS-2922,Visakh Refinery,113,7654.38,Vendor-859,CLU-0051,Electrostatic Precipitator Collecting Electrode Plate,NMC-100051
